,kanji,strokes,frequency,grade,jlpt,parts,radicals,on_readings,kun_readings,on_readings_compounds,kun_readings_compounds,main_meaning,wanikani_level,Number of Appearances on Twitter,Percentage of Appearances on Twitter,Rank of Appearances on Twitter,Number of Appearances on Wikipedia,Percentage of Appearances on Wikipedia,Rank of Appearances on Wikipedia,Number of Appearances on News,Percentage of Appearances on News,Rank of Appearances on News,Number of Appearances on Aozora,Percentage of Appearances on Aozora,Rank of Appearances on Aozora,Genki_Lesson
464,薫,16.0,1849.0,junior high,N1,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', 'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '艾': 'http:////jisho.org/search/%E8%89%BE%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '杰': 'http:////jisho.org/search/%E6%9D%B0%20%23kanji'}",{'艸 (艹)': 'grass'},{'クン': 'http:////jisho.org/search/%E8%96%AB%20%E3%81%8F%E3%82%93'},{'かお.る': 'http:////jisho.org/search/%E8%96%AB%20%E3%81%8B%E3%81%8A%E3%82%8B'},"['薫  【クン】  pleasant smell, aroma, fragrance, scent, pleasant-smelling vegetation', '燻蒸  【クンジョウ】  fumigation, smoking (out)', '余薫  【ヨクン】  lingering odor, lingering odour']","['香る  【かおる】  to smell sweet, to be fragrant']","['send forth fragrance', 'fragrant', 'be scented', 'smoke (tobacco)']",,158.0,1.579225232101131e-05,2020.0,30883.0,3.936323794238144e-05,1645.0,172.0,1.6669002265239878e-05,1833.0,2193.0,4.2599625333090034e-05,2059.0,
465,軍,9.0,189.0,grade 4,N2,"{'冖': 'http:////jisho.org/search/%E5%86%96%20%23kanji', '車': 'http:////jisho.org/search/%E8%BB%8A%20%23kanji'}","{'車': 'cart, car'}",{'グン': 'http:////jisho.org/search/%E8%BB%8D%20%E3%81%90%E3%82%93'},{'いくさ': 'http:////jisho.org/search/%E8%BB%8D%20%E3%81%84%E3%81%8F%E3%81%95'},"['軍  【グン】  army, force, troops', '軍医  【グンイ】  military physician or surgeon', '両軍  【リョウグン】  both armies, both teams', '従軍  【ジュウグン】  military service, serving in a war, taking part in a campaign']","['戦  【いくさ】  war, battle, campaign, fight, troops, forces', '軍神  【ぐんしん】  god of war, war hero', '海兵遠征軍  【かいへいえんせいいくさ】  Marine Expeditionary Force (US)', '大軍  【おおいくさ】  great war, great battle']","['army', 'force', 'troops', 'war', 'battle']",15.0,1865.0,0.00018640854796636767,875.0,1300125.0,0.0016571294799675768,144.0,9073.0,0.0008792898694914036,299.0,34379.0,0.0006678214862409037,338.0,
466,郡,10.0,965.0,grade 4,N1,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', 'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', 'ヨ': 'http:////jisho.org/search/%E3%83%A8%20%23kanji', '邦': 'http:////jisho.org/search/%E9%82%A6%20%23kanji'}",{'邑 (阝)': 'town (阝 right)'},{'グン': 'http:////jisho.org/search/%E9%83%A1%20%E3%81%90%E3%82%93'},{'こおり': 'http:////jisho.org/search/%E9%83%A1%20%E3%81%93%E3%81%8A%E3%82%8A'},"['郡  【グン】  district, county, district (of 2-20 50-home neighbourhoods or townships, in the ritsuryo period)', '郡部  【グンブ】  rural districts, counties', '共産国家郡  【キョウサンコッカグン】  Communist bloc']","['郡  【ぐん】  district, county, district (of 2-20 50-home neighbourhoods or townships, in the ritsuryo period)', '郡司  【ぐんじ】  district governor (Ritsuryo period)']","['county', 'district']",51.0,3652.0,0.0003650209207362868,568.0,926162.0,0.001180479071955182,202.0,573.0,5.553103661617704e-05,1391.0,5957.0,0.00011571635572695725,1342.0,
467,群,13.0,1012.0,grade 5,N2,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', 'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '并': 'http:////jisho.org/search/%E5%B9%B6%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', 'ヨ': 'http:////jisho.org/search/%E3%83%A8%20%23kanji', '王': 'http:////jisho.org/search/%E7%8E%8B%20%23kanji', '羊': 'http:////jisho.org/search/%E7%BE%8A%20%23kanji'}",{'羊 (⺶)': 'sheep'},{'グン': 'http:////jisho.org/search/%E7%BE%A4%20%E3%81%90%E3%82%93'},"{'む.れる': 'http:////jisho.org/search/%E7%BE%A4%20%E3%82%80%E3%82%8C%E3%82%8B', 'む.れ': 'http:////jisho.org/search/%E7%BE%A4%20%E3%82%80%E3%82%8C', 'むら': 'http:////jisho.org/search/%E7%BE%A4%20%E3%82%80%E3%82%89', 'むら.がる': 'http:////jisho.org/search/%E7%BE%A4%20%E3%82%80%E3%82%89%E3%81%8C%E3%82%8B'}","['群  【グン】  group, bunch, crowd, throng, swarm, band, group', '群衆  【グンシュウ】  group (of people), crowd, horde, throng, mob, multitude', '症候群  【ショウコウグン】  syndrome', '層群  【ソウグン】  (geol) group']","['群れる  【むれる】  to crowd, to flock, to swarm', '群れ  【むれ】  group, crowd, flock, herd, bevy, school, swarm, cluster (e.g. of stars), clump, pack (e.g. of dogs)', '群れる  【むれる】  to crowd, to flock, to swarm', '群  【むら】  gathering', '群がる  【むらがる】  to swarm, to gather', '葉群  【はむら】  leaves, foliage', '岩群  【いわむら】  rocky outcrop, jumble of rocks', '群がる  【むらがる】  to swarm, to gather']","['flock', 'group', 'crowd', 'herd', 'swarm', 'cluster']",39.0,2402.0,0.00024008221566499484,763.0,248531.0,0.0003167757306303793,683.0,2366.0,0.000229295693950916,805.0,13416.0,0.0002606094726259625,802.0,
468,兄,5.0,1219.0,grade 2,N4,"{'儿': 'http:////jisho.org/search/%E5%84%BF%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji'}",{'儿': 'legs'},"{'ケイ': 'http:////jisho.org/search/%E5%85%84%20%E3%81%91%E3%81%84', 'キョウ': 'http:////jisho.org/search/%E5%85%84%20%E3%81%8D%E3%82%87%E3%81%86'}",{'あに': 'http:////jisho.org/search/%E5%85%84%20%E3%81%82%E3%81%AB'},"['兄  【ケイ】  elder brother, pronoun or suffix used in reference to an older brother figure, Mister, Mr', '兄弟  【キョウダイ】  siblings, brothers and sisters, brothers, siblings-in-law, brothers-in-law, sisters-in-law, mate, friend', '実兄  【ジッケイ】  biological older brother', '父兄  【フケイ】  guardians, parents, father and older brother', '兄弟  【キョウダイ】  siblings, brothers and sisters, brothers, siblings-in-law, brothers-in-law, sisters-in-law, mate, friend', '兄姉  【ケイシ】  brother and sister']","['兄  【あに】  elder brother, older brother', ""兄貴  【あにき】  elder brother, one's senior, older man, man older than oneself"", '中の兄  【なかのあに】  middle brother', ""義理の兄  【ぎりのあに】  one's brother-in-law, stepbrother (elder)""]","['elder brother', 'big brother']",5.0,3222.0,0.0003220420061917623,616.0,170257.0,0.00021700828295036223,843.0,503.0,4.8747140345439866e-05,1445.0,29058.0,0.000564459604618755,397.0,19
469,刑,6.0,864.0,junior high,N1,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', 'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '二': 'http:////jisho.org/search/%E4%BA%8C%20%23kanji', '刈': 'http:////jisho.org/search/%E5%88%88%20%23kanji', '廾': 'http:////jisho.org/search/%E5%BB%BE%20%23kanji'}","{'刀 (刂)': 'knife, sword'}",,{'ケイ': 'http:////jisho.org/search/%E5%88%91%20%E3%81%91%E3%81%84'},"['刑  【ケイ】  penalty, sentence, punishment', '刑事  【ケイジ】  (police) detective, criminal matter', ""量刑  【リョウケイ】  judge's sentence, assessment of a case"", ""求刑  【キュウケイ】  recommended sentence, prosecution's demand for punishment""]",,"['punish', 'penalty', 'sentence', 'punishment']",37.0,505.0,5.047523684880198e-05,1485.0,191814.0,0.0002444846719127013,784.0,3422.0,0.00033163561483517945,666.0,8484.0,0.00016480402249244676,1096.0,
470,形,7.0,418.0,grade 2,N3,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', 'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '二': 'http:////jisho.org/search/%E4%BA%8C%20%23kanji', '廾': 'http:////jisho.org/search/%E5%BB%BE%20%23kanji', '彡': 'http:////jisho.org/search/%E5%BD%A1%20%23kanji'}","{'彡': 'bristle, beard'}","{'ケイ': 'http:////jisho.org/search/%E5%BD%A2%20%E3%81%91%E3%81%84', 'ギョウ': 'http:////jisho.org/search/%E5%BD%A2%20%E3%81%8E%E3%82%87%E3%81%86'}","{'かた': 'http:////jisho.org/search/%E5%BD%A2%20%E3%81%8B%E3%81%9F', '-がた': 'http:////jisho.org/search/%E5%BD%A2%20%E3%81%8C%E3%81%9F', 'かたち': 'http:////jisho.org/search/%E5%BD%A2%20%E3%81%8B%E3%81%9F%E3%81%A1', 'なり': 'http:////jisho.org/search/%E5%BD%A2%20%E3%81%AA%E3%82%8A'}","['形  【ケイ】  form, tense, adjective, i-adjective (in Japanese)', '形式  【ケイシキ】  form (as opposed to substance), formality, method, system, style, format, mode, appearance, form (something takes), math expression', '造形  【ゾウケイ】  molding, moulding, shaping, modelling (i.e. plastic arts), modeling', '体型  【タイケイ】  figure, body shape, build, physique, form, somatotype, biotype, habitus, (type of) physique', '形相  【ギョウソウ】  look (esp. an angry or upset look), expression', '奇形  【キケイ】  deformity, malformation, strange shape, unusual shape', '大仰  【オオギョウ】  exaggeration']","['形  【かた】  shape, appearance, collateral, obverse of an old ""zeni"" coin', '形  【かたち】  form, shape, figure, visage', '借金のカタ  【しゃっきんのカタ】  security for a loan, collateral', '館  【やかた】  mansion, palace, manor house, castle, nobleman, noblewoman, dignitary, cabin (on a boat, carriage, etc.)', '形  【かたち】  form, shape, figure, visage', '形作る  【かたちづくる】  to form, to shape, to make, to mold, to mould, to build up', '顔かたち  【かおかたち】  features, looks', '姿形  【すがたかたち】  appearance, figure, shape, form', '形  【なり】  style, way, shape, form, appearance, state', ""形体  【なりかたち】  one's appearance"", '生成り  【きなり】  unbleached cloth, unbleached colour (color), unbleached, undyed', '二形  【ふたなり】  hermaphrodite, androgyny, hermaphroditism']","['shape', 'form', 'style']",5.0,3574.0,0.00035722474553983815,575.0,1060207.0,0.0013513318139163426,176.0,4765.0,0.00046178951042946523,546.0,65495.0,0.0012722583042365395,161.0,
471,系,7.0,567.0,grade 6,N1,"{'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '小': 'http:////jisho.org/search/%E5%B0%8F%20%23kanji', '幺': 'http:////jisho.org/search/%E5%B9%BA%20%23kanji', '糸': 'http:////jisho.org/search/%E7%B3%B8%20%23kanji'}",{'糸 (糹)': 'silk'},,{'ケイ': 'http:////jisho.org/search/%E7%B3%BB%20%E3%81%91%E3%81%84'},"['系  【ケイ】  system, lineage, group, corollary, system (range of strata that correspond to a particular time period), (taxonomical) series', '系統  【ケイトウ】  system, lineage, ancestry, family line, group (e.g. of colors) (colours), family (e.g. of languages), party, school (of thought), close (evolutionary) relationship, a population sharing a common ancestor (in genetics), strain (e.g. bacterial)', '日系  【ニッケイ】  (of) Japanese descent, non-Japanese of Japanese descent, nikkeijin, company, etc. set up with Japanese capital, company managed by Japanese or non-Japanese of Japanese descent', '水系  【スイケイ】  water system, river system, drainage system']",,"['lineage', 'system']",30.0,4755.0,0.00047526683409119483,464.0,911257.0,0.0011614812718214124,208.0,2634.0,0.00025526832538745256,765.0,6484.0,0.00012595347499304866,1286.0,
472,径,8.0,1435.0,grade 4,N1,"{'又': 'http:////jisho.org/search/%E5%8F%88%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji', '彳': 'http:////jisho.org/search/%E5%BD%B3%20%23kanji'}",{'彳': 'step'},{'ケイ': 'http:////jisho.org/search/%E5%BE%84%20%E3%81%91%E3%81%84'},"{'みち': 'http:////jisho.org/search/%E5%BE%84%20%E3%81%BF%E3%81%A1', 'こみち': 'http:////jisho.org/search/%E5%BE%84%20%E3%81%93%E3%81%BF%E3%81%A1', 'さしわたし': 'http:////jisho.org/search/%E5%BE%84%20%E3%81%95%E3%81%97%E3%82%8F%E3%81%9F%E3%81%97', 'ただちに': 'http:////jisho.org/search/%E5%BE%84%20%E3%81%9F%E3%81%A0%E3%81%A1%E3%81%AB'}","['径  【ケイ】  diameter', '経路  【ケイロ】  course, route, path, channel, process, means', '半径  【ハンケイ】  radius', '口径  【コウケイ】  aperture, bore, calibre, caliber']","['道  【みち】  road, path, street, lane, passage, route, way, distance, journey, road (e.g. to victory), course, way (of living, proper conduct, etc.), moral principles, teachings (esp. Confucian or Buddhist), dogma, field (e.g. of medicine), subject, speciality, means, way, method']","['diameter', 'path', 'method']",31.0,76.0,7.596273268334555e-06,2310.0,65910.0,8.400838690484605e-05,1285.0,2888.0,0.0002798841775698417,737.0,2198.0,4.269675170183853e-05,2057.0,
473,茎,8.0,2013.0,junior high,N1,"{'又': 'http:////jisho.org/search/%E5%8F%88%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji', '艾': 'http:////jisho.org/search/%E8%89%BE%20%23kanji'}",{'艸 (艹)': 'grass'},"{'ケイ': 'http:////jisho.org/search/%E8%8C%8E%20%E3%81%91%E3%81%84', 'キョウ': 'http:////jisho.org/search/%E8%8C%8E%20%E3%81%8D%E3%82%87%E3%81%86'}",{'くき': 'http:////jisho.org/search/%E8%8C%8E%20%E3%81%8F%E3%81%8D'},"['茎頂  【ケイチョウ】  tip of a stem (of a plant)', '茎葉  【ケイヨウ】  stems and leaves', '塊茎  【カイケイ】  tuber', '包茎  【ホウケイ】  phimosis', '包茎  【ホウケイ】  phimosis', '陰茎  【インケイ】  penis']","['茎  【くき】  stalk, stem', '茎茶  【くきちゃ】  twig tea, stem tea, kukicha, tea made from twigs pruned from the tea plant during its dormant season', '一茎  【ひとくき】  one stem']","['stalk', 'stem']",54.0,152.0,1.519254653666911e-05,2033.0,16579.0,2.113146785761558e-05,1970.0,46.0,4.45798897791299e-06,2244.0,1256.0,2.439814382962201e-05,2473.0,
474,係,9.0,232.0,grade 3,N3,"{'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '化': 'http:////jisho.org/search/%E5%8C%96%20%23kanji', '小': 'http:////jisho.org/search/%E5%B0%8F%20%23kanji', '幺': 'http:////jisho.org/search/%E5%B9%BA%20%23kanji', '糸': 'http:////jisho.org/search/%E7%B3%B8%20%23kanji'}","{'人 (亻)': 'man, human'}",{'ケイ': 'http:////jisho.org/search/%E4%BF%82%20%E3%81%91%E3%81%84'},"{'かか.る': 'http:////jisho.org/search/%E4%BF%82%20%E3%81%8B%E3%81%8B%E3%82%8B', 'かかり': 'http:////jisho.org/search/%E4%BF%82%20%E3%81%8B%E3%81%8B%E3%82%8A', '-がかり': 'http:////jisho.org/search/%E4%BF%82%20%E3%81%8C%E3%81%8B%E3%82%8A', 'かか.わる': 'http:////jisho.org/search/%E4%BF%82%20%E3%81%8B%E3%81%8B%E3%82%8F%E3%82%8B'}","['係争  【ケイソウ】  contention, dispute, conflict, controversy', '係数  【ケイスウ】  coefficient, factor, proportional constant', '相関関係  【ソウカンカンケイ】  correlation, interrelation, intertwining', '三角関係  【サンカクカンケイ】  love triangle, eternal triangle']","['係る  【かかる】  to be the work of, to be the result of, to be done by, to concern, to affect, to involve, to relate to', '係  【かかり】  charge, duty, person in charge, official, clerk, connection, linking', '係員  【かかりいん】  person in charge, official, attendant', '口座係  【こうざかかり】  teller (in bank)', '応接係  【おうせつかかり】  receptionist, desk clerk', '関わる  【かかわる】  to be affected, to be influenced, to be concerned with, to have to do with, to stick to (opinions)']","['person in charge', 'connection', 'duty', 'concern oneself']",16.0,4686.0,0.0004683702175712595,467.0,400192.0,0.0005100816927966038,465.0,9236.0,0.0008950866565218342,297.0,24142.0,0.00046896495886523455,496.0,
475,型,9.0,482.0,grade 4,N2,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', 'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '二': 'http:////jisho.org/search/%E4%BA%8C%20%23kanji', '刈': 'http:////jisho.org/search/%E5%88%88%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji', '廾': 'http:////jisho.org/search/%E5%BB%BE%20%23kanji'}",{'土': 'earth'},{'ケイ': 'http:////jisho.org/search/%E5%9E%8B%20%E3%81%91%E3%81%84'},"{'かた': 'http:////jisho.org/search/%E5%9E%8B%20%E3%81%8B%E3%81%9F', '-がた': 'http:////jisho.org/search/%E5%9E%8B%20%E3%81%8C%E3%81%9F'}","['型式  【カタシキ】  model (e.g. of a vehicle), type', '造形  【ゾウケイ】  molding, moulding, shaping, modelling (i.e. plastic arts), modeling', '体型  【タイケイ】  figure, body shape, build, physique, form, somatotype, biotype, habitus, (type of) physique']","['型  【かた】  model, type (e.g. of machine, goods, etc.), type, style, pattern, mold (mould), template, model, kata (standard form of a movement, posture, etc. in martial arts, sport, etc.), form (i.e. customary procedure), size (i.e. clothing, shoes), inch (in diagonal display size), (taxonomical) form', '型式  【かたしき】  model (e.g. of a vehicle), type', 'ギャランティ型  【ギャランティかた】  guarantee type', '不況型  【ふきょうかた】  recession-induced']","['mould', 'type', 'model']",24.0,3236.0,0.0003234413196885608,611.0,833666.0,0.0010625843707694645,238.0,5557.0,0.0005385444510926627,485.0,9087.0,0.0001765174625635153,1048.0,
476,契,9.0,898.0,junior high,N1,"{'二': 'http:////jisho.org/search/%E4%BA%8C%20%23kanji', '亠': 'http:////jisho.org/search/%E4%BA%A0%20%23kanji', '刀': 'http:////jisho.org/search/%E5%88%80%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji', '大': 'http:////jisho.org/search/%E5%A4%A7%20%23kanji'}","{'大': 'big, very'}",{'ケイ': 'http:////jisho.org/search/%E5%A5%91%20%E3%81%91%E3%81%84'},{'ちぎ.る': 'http:////jisho.org/search/%E5%A5%91%20%E3%81%A1%E3%81%8E%E3%82%8B'},"['契約  【ケイヤク】  contract, compact, agreement', '契機  【ケイキ】  opportunity, chance, trigger, cause', '幽契  【ユウケイ】  secret promise made to the gods', '黙契  【モッケイ】  implicit agreement, tacit understanding']","['契る  【ちぎる】  to pledge, to vow, to promise, to swear, to have sexual intercourse (esp. between husband and wife), to share a bed']","['pledge', 'promise', 'vow']",37.0,445.0,4.447817900537996e-05,1545.0,129868.0,0.0001655287693909657,970.0,2682.0,0.00025992013997310095,761.0,2080.0,4.040456939937403e-05,2096.0,
477,計,9.0,228.0,grade 2,N4,"{'十': 'http:////jisho.org/search/%E5%8D%81%20%23kanji', '言': 'http:////jisho.org/search/%E8%A8%80%20%23kanji'}",{'言 (訁)': 'speech'},{'ケイ': 'http:////jisho.org/search/%E8%A8%88%20%E3%81%91%E3%81%84'},"{'はか.る': 'http:////jisho.org/search/%E8%A8%88%20%E3%81%AF%E3%81%8B%E3%82%8B', 'はか.らう': 'http:////jisho.org/search/%E8%A8%88%20%E3%81%AF%E3%81%8B%E3%82%89%E3%81%86'}","['計  【ケイ】  plan, meter, measuring device, (in) total, total (of)', '計画  【ケイカク】  plan, project, schedule, scheme, program, programme', '生計  【セイケイ】  livelihood, living', '推計  【スイケイ】  estimate, estimation']","['計る  【はかる】  to measure, to weigh, to survey, to time (sound, gauge, estimate), to conjecture, to infer, to surmise', '計らう  【はからう】  to manage, to arrange, to talk over, to dispose of']","['plot', 'plan', 'scheme', 'measure']",15.0,4185.0,0.0004182947845786857,514.0,729947.0,0.0009303849187684976,280.0,14780.0,0.0014323712411642175,171.0,26556.0,0.0005158575696970081,440.0,21
478,恵,10.0,925.0,junior high,N1,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '心': 'http:////jisho.org/search/%E5%BF%83%20%23kanji', '田': 'http:////jisho.org/search/%E7%94%B0%20%23kanji'}","{'心 (忄, ⺗)': 'heart'}","{'ケイ': 'http:////jisho.org/search/%E6%81%B5%20%E3%81%91%E3%81%84', 'エ': 'http:////jisho.org/search/%E6%81%B5%20%E3%81%88'}","{'めぐ.む': 'http:////jisho.org/search/%E6%81%B5%20%E3%82%81%E3%81%90%E3%82%80', 'めぐ.み': 'http:////jisho.org/search/%E6%81%B5%20%E3%82%81%E3%81%90%E3%81%BF'}","['恵雨  【ケイウ】  welcome rain', '恵存  【ケイソン】  message appended to a note accompanying a gift, requesting the recipient to keep the gift at hand', '互恵  【ゴケイ】  reciprocity, mutual benefit', '慈恵  【ジケイ】  mercy and love', '恵  【エ】  wisdom, enlightenment, prajñā (one of the three divisions of the noble eightfold path), wisdom', '恵比寿  【エビス】  Ebisu, god of fishing and commerce', '悪知恵  【ワルヂエ】  craft, cunning, guile, serpentine wisdom', '付け知恵  【ツケヂエ】  hint, suggestion']","['恵む  【めぐむ】  to bless, to show mercy to, to give (money, etc.)', '恵み  【めぐみ】  blessing, grace', '恵みの雨  【めぐみのあめ】  welcome rain, merciful rain, blessed rain, rain after a long dry period', ""天の恵み  【てんのめぐみ】  God's gift, God's blessing, grace of God, godsend""]","['favor', 'blessing', 'grace', 'kindness']",37.0,2118.0,0.0002116961418727972,814.0,191449.0,0.00024401944567661773,787.0,1856.0,0.00017987016397840241,915.0,6571.0,0.00012764347380927248,1275.0,
479,啓,11.0,1403.0,junior high,N1,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '尸': 'http:////jisho.org/search/%E5%B0%B8%20%23kanji', '戸': 'http:////jisho.org/search/%E6%88%B8%20%23kanji', '攵': 'http:////jisho.org/search/%E6%94%B5%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}","{'口': 'mouth, opening'}",{'ケイ': 'http:////jisho.org/search/%E5%95%93%20%E3%81%91%E3%81%84'},"{'ひら.く': 'http:////jisho.org/search/%E5%95%93%20%E3%81%B2%E3%82%89%E3%81%8F', 'さと.す': 'http:////jisho.org/search/%E5%95%93%20%E3%81%95%E3%81%A8%E3%81%99'}","['啓発  【ケイハツ】  enlightenment, development, edification, public awareness, illumination, education, inspiration', '啓蒙  【ケイモウ】  enlightenment, instruction', '拝啓  【ハイケイ】  Dear (so and so), Dear Sir, Dear Madam, To Whom It May Concern', '敬啓  【ケイケイ】  salutation at the end of a formal letter']","['啓く  【ひらく】  to enlighten, to edify']","['disclose', 'open', 'say']",53.0,190.0,1.899068317083639e-05,1926.0,58949.0,7.513594901613975e-05,1336.0,544.0,5.27205653040145e-05,1411.0,3196.0,6.208317490403817e-05,1764.0,
480,掲,11.0,899.0,junior high,N1,"{'勹': 'http:////jisho.org/search/%E5%8B%B9%20%23kanji', '匕': 'http:////jisho.org/search/%E5%8C%95%20%23kanji', '扎': 'http:////jisho.org/search/%E6%89%8E%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji'}",{'手 (扌龵)': 'hand'},{'ケイ': 'http:////jisho.org/search/%E6%8E%B2%20%E3%81%91%E3%81%84'},{'かか.げる': 'http:////jisho.org/search/%E6%8E%B2%20%E3%81%8B%E3%81%8B%E3%81%92%E3%82%8B'},"['掲示  【ケイジ】  notice, bulletin, post, posting, placard', '掲載  【ケイサイ】  publication (e.g. of an article in a newspaper), carrying (e.g. a story), running (e.g. a serial), insertion (e.g. of an advertisement), printing, posting (e.g. on the web)', '再掲  【サイケイ】  to reproduce, to reprint', '上掲  【ジョウケイ】  the above-mentioned']","['掲げる  【かかげる】  to put up (a notice, sign, etc.), to hang out (e.g. a banner), to fly (e.g. a flag), to hoist, to raise, to display, to hold up high, to raise overhead, to tout (a principle, plan, etc.), to herald, to hold up (an ideal), to parade (e.g. a slogan), to publish, to print, to carry (e.g. an article), to tuck up (e.g. sleeves), to roll up, to stoke (a fire), to fan (a flame)']","['put up (a notice)', 'put up', 'hoist', 'display', 'hang out', 'publish', 'describe']",37.0,612.0,6.116999000290458e-05,1402.0,183102.0,0.00023338042268322142,802.0,2596.0,0.0002515856388404809,774.0,2794.0,5.427421485665916e-05,1863.0,
481,渓,11.0,2063.0,junior high,N1,"{'二': 'http:////jisho.org/search/%E4%BA%8C%20%23kanji', '人': 'http:////jisho.org/search/%E4%BA%BA%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji', '大': 'http:////jisho.org/search/%E5%A4%A7%20%23kanji', '汁': 'http:////jisho.org/search/%E6%B1%81%20%23kanji', '爪': 'http:////jisho.org/search/%E7%88%AA%20%23kanji'}","{'水 (氵, 氺)': 'water'}",{'ケイ': 'http:////jisho.org/search/%E6%B8%93%20%E3%81%91%E3%81%84'},"{'たに': 'http:////jisho.org/search/%E6%B8%93%20%E3%81%9F%E3%81%AB', 'たにがわ': 'http:////jisho.org/search/%E6%B8%93%20%E3%81%9F%E3%81%AB%E3%81%8C%E3%82%8F'}","['渓谷  【ケイコク】  valley (with a river running through it), gorge, ravine, canyon', '渓流  【ケイリュウ】  mountain stream, mountain torrent', '雪渓  【セッケイ】  snowy valley', '猊鼻渓  【ゲイビケイ】  Geibi Gorge (Ichinoseki, Iwate)']",['谷  【たに】  valley'],"['mountain stream', 'valley']",60.0,103.0,1.0294949297874465e-05,2177.0,35460.0,4.5197047483626786e-05,1584.0,109.0,1.0563495621576434e-05,1990.0,2012.0,3.90836507843945e-05,2124.0,
482,経,11.0,79.0,grade 5,N3,"{'又': 'http:////jisho.org/search/%E5%8F%88%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji', '小': 'http:////jisho.org/search/%E5%B0%8F%20%23kanji', '幺': 'http:////jisho.org/search/%E5%B9%BA%20%23kanji', '糸': 'http:////jisho.org/search/%E7%B3%B8%20%23kanji'}",{'糸 (糹)': 'silk'},"{'ケイ': 'http:////jisho.org/search/%E7%B5%8C%20%E3%81%91%E3%81%84', 'キョウ': 'http:////jisho.org/search/%E7%B5%8C%20%E3%81%8D%E3%82%87%E3%81%86', 'キン': 'http:////jisho.org/search/%E7%B5%8C%20%E3%81%8D%E3%82%93'}","{'へ.る': 'http:////jisho.org/search/%E7%B5%8C%20%E3%81%B8%E3%82%8B', 'た.つ': 'http:////jisho.org/search/%E7%B5%8C%20%E3%81%9F%E3%81%A4', 'たていと': 'http:////jisho.org/search/%E7%B5%8C%20%E3%81%9F%E3%81%A6%E3%81%84%E3%81%A8', 'はか.る': 'http:////jisho.org/search/%E7%B5%8C%20%E3%81%AF%E3%81%8B%E3%82%8B', 'のり': 'http:////jisho.org/search/%E7%B5%8C%20%E3%81%AE%E3%82%8A'}","['経  【ケイ】  warp (weaving), longitude, scripture, sutra, trans-', '経団連  【ケイダンレン】  Federation of Economic Organizations (Organisation)', '月経  【ゲッケイ】  menstruation, menstrual period', '政経  【セイケイ】  politics and economics', '経  【キョウ】  sutra, Buddhist scriptures', '経典  【キョウテン】  sacred books, sutras, scriptures, Bible', '説経  【セッキョウ】  lecture on the sutras', '法華経  【ホケキョウ】  Lotus Sutra', '経行  【キンヒン】  meditation performed while walking', '看経  【カンキン】  silent reading of sutra']","['経る  【へる】  to pass, to elapse, to go by, to pass through, to go through, to experience, to go through, to undergo', '経つ  【たつ】  to pass (of time), to elapse', '経糸  【たていと】  (weaving) warp']","['sutra', 'longitude', 'pass thru', 'expire', 'warp']",20.0,5482.0,0.0005479311849606583,414.0,1176805.0,0.0014999467417927078,156.0,20907.0,0.0020261559904614537,110.0,37158.0,0.0007218043219913173,314.0,21
